id,date,country,province,city,lat,lon,drug_type,quantity,unit,estimated_value_usd,seizure_context,provenance,source_reliability,info_credibility,admiralty_rating
1,2019-01-14,Thailand,Chiang Rai,Chiang Rai,19.9105,99.8406,Methamphetamine (tablets),2200000,tablets,6600000,Border checkpoint,Synthetic (illustrative),B,2,B2
2,2019-02-08,Myanmar,Shan State,Tachileik,20.4478,99.9358,Heroin,85,kg,3400000,Intelligence-led raid,Synthetic (illustrative),B,2,B2
3,2019-02-22,Thailand,Bangkok,Bangkok,13.7563,100.5018,Crystal Methamphetamine,340,kg,17000000,Warehouse raid,Synthetic (illustrative),B,2,B2
4,2019-03-05,Philippines,Metro Manila,Manila,14.5995,120.9842,Crystal Methamphetamine,200,kg,10000000,Port seizure,Synthetic (illustrative),D,3,D3
5,2019-03-19,Vietnam,Dien Bien,Dien Bien,21.386,103.023,Heroin,120,kg,4800000,Border checkpoint,Synthetic (illustrative),B,2,B2
6,2019-04-02,Malaysia,Kuala Lumpur,Kuala Lumpur,3.139,101.6869,Crystal Methamphetamine,150,kg,7500000,Airport seizure,Synthetic (illustrative),B,2,B2
7,2019-04-11,Laos,Bokeo,Bokeo,20.2833,100.4333,Methamphetamine (tablets),5500000,tablets,16500000,Border checkpoint,Synthetic (illustrative),B,2,B2
8,2019-04-25,Indonesia,DKI Jakarta,Jakarta,-6.2088,106.8456,Crystal Methamphetamine,80,kg,4000000,Maritime interdiction,Synthetic (illustrative),B,2,B2
9,2019-05-10,Thailand,Nakhon Phanom,Nakhon Phanom,17.4048,104.7692,Methamphetamine (tablets),9000000,tablets,27000000,Border checkpoint,Synthetic (illustrative),B,2,B2
10,2019-05-28,Cambodia,Phnom Penh,Phnom Penh,11.5564,104.9282,Ketamine,45,kg,900000,Warehouse raid,Synthetic (illustrative),D,3,D3
11,2019-06-14,Myanmar,Shan State,Lashio,22.9362,97.75,Methamphetamine (tablets),12000000,tablets,36000000,Lab dismantlement,Synthetic (illustrative),B,2,B2
12,2019-06-30,Thailand,Tak,Tak,16.884,99.1258,Heroin,38,kg,1520000,Vehicle checkpoint,Synthetic (illustrative),B,2,B2
13,2019-07-09,Vietnam,Ho Chi Minh City,Ho Chi Minh City,10.8231,106.6297,Crystal Methamphetamine,60,kg,3000000,Port seizure,Synthetic (illustrative),B,2,B2
14,2019-07-22,Philippines,Cebu,Cebu,10.3157,123.8854,Crystal Methamphetamine,45,kg,2250000,Maritime interdiction,Synthetic (illustrative),B,2,B2
15,2019-08-05,Thailand,Chiang Mai,Chiang Mai,18.7883,98.9853,Methamphetamine (tablets),4500000,tablets,13500000,Vehicle checkpoint,Synthetic (illustrative),B,2,B2
16,2019-08-18,Malaysia,Johor,Johor Bahru,1.4927,103.7414,MDMA/Ecstasy,30,kg,600000,Port seizure,Synthetic (illustrative),B,2,B2
17,2019-09-01,Indonesia,North Sumatra,Medan,3.5952,98.6722,Crystal Methamphetamine,55,kg,2750000,Intelligence-led raid,Synthetic (illustrative),D,3,D3
18,2019-09-15,Myanmar,Mandalay,Mandalay,21.9588,96.0891,Heroin,200,kg,8000000,Intelligence-led raid,Synthetic (illustrative),B,2,B2
19,2019-10-03,Thailand,Bangkok,Bangkok,13.7563,100.5018,Ketamine,80,kg,1600000,Airport seizure,Synthetic (illustrative),B,2,B2
20,2019-10-20,Laos,Vientiane,Vientiane,17.9757,102.6331,Methamphetamine (tablets),3000000,tablets,9000000,Vehicle checkpoint,Synthetic (illustrative),C,2,C2
21,2019-11-08,Cambodia,Preah Sihanouk,Preah Sihanouk,10.6093,103.5228,Crystal Methamphetamine,18,kg,900000,Warehouse raid,Synthetic (illustrative),D,3,D3
22,2019-11-25,Vietnam,Nghe An,Nghe An,18.6768,105.6813,Heroin,65,kg,2600000,Border checkpoint,Synthetic (illustrative),B,2,B2
23,2019-12-10,Thailand,Mukdahan,Mukdahan,16.5426,104.7235,Methamphetamine (tablets),6500000,tablets,19500000,Border checkpoint,Synthetic (illustrative),B,2,B2
24,2019-12-28,Philippines,Davao,Davao,7.1907,125.4553,Crystal Methamphetamine,28,kg,1400000,Intelligence-led raid,Synthetic (illustrative),B,2,B2
25,2020-01-15,Thailand,Chiang Rai,Chiang Rai,19.9105,99.8406,Methamphetamine (tablets),15000000,tablets,45000000,Border checkpoint,Synthetic (illustrative),B,2,B2
26,2020-01-29,Myanmar,Shan State,Muse,23.9881,97.8536,Crystal Methamphetamine,500,kg,25000000,Lab dismantlement,Synthetic (illustrative),B,2,B2
27,2020-02-12,Malaysia,Penang,Penang,5.4141,100.3288,Ketamine,120,kg,2400000,Port seizure,Synthetic (illustrative),B,2,B2
28,2020-03-01,Thailand,Bangkok,Bangkok,13.7563,100.5018,Crystal Methamphetamine,450,kg,22500000,Warehouse raid,Synthetic (illustrative),B,2,B2
29,2020-03-18,Laos,Phongsali,Phongsali,21.6822,102.1005,Methamphetamine (tablets),8000000,tablets,24000000,Border checkpoint,Synthetic (illustrative),C,2,C2
30,2020-04-05,Indonesia,Riau Islands,Batam,1.0456,104.0305,MDMA/Ecstasy,55,kg,1100000,Maritime interdiction,Synthetic (illustrative),B,2,B2
31,2020-04-20,Cambodia,Phnom Penh,Phnom Penh,11.5564,104.9282,Ketamine,90,kg,1800000,Intelligence-led raid,Synthetic (illustrative),D,3,D3
32,2020-05-08,Vietnam,Ha Tinh,Ha Tinh,18.3559,105.8878,Heroin,45,kg,1800000,Border checkpoint,Synthetic (illustrative),B,2,B2
33,2020-05-22,Thailand,Nong Khai,Nong Khai,17.8782,102.7445,Methamphetamine (tablets),11000000,tablets,33000000,Border checkpoint,Synthetic (illustrative),B,2,B2
34,2020-06-10,Philippines,Metro Manila,Manila,14.5995,120.9842,Crystal Methamphetamine,320,kg,16000000,Controlled delivery,Synthetic (illustrative),B,2,B2
35,2020-06-25,Myanmar,Shan State,Tachileik,20.4478,99.9358,Methamphetamine (tablets),20000000,tablets,60000000,Border checkpoint,Synthetic (illustrative),B,2,B2
36,2020-07-14,Thailand,Chiang Mai,Chiang Mai,18.7883,98.9853,Heroin,22,kg,880000,Vehicle checkpoint,Synthetic (illustrative),B,2,B2
37,2020-07-30,Malaysia,Kuala Lumpur,Kuala Lumpur,3.139,101.6869,Crystal Methamphetamine,210,kg,10500000,Airport seizure,Synthetic (illustrative),B,2,B2
38,2020-08-12,Indonesia,DKI Jakarta,Jakarta,-6.2088,106.8456,MDMA/Ecstasy,85,kg,1700000,Warehouse raid,Synthetic (illustrative),B,2,B2
39,2020-08-28,Thailand,Bangkok,Bangkok,13.7563,100.5018,Cannabis,250,kg,750000,Street operation,Synthetic (illustrative),D,3,D3
40,2020-09-10,Vietnam,Hanoi,Hanoi,21.0285,105.8542,Crystal Methamphetamine,75,kg,3750000,Intelligence-led raid,Synthetic (illustrative),B,2,B2
41,2020-09-25,Laos,Luang Namtha,Luang Namtha,20.95,101.4167,Methamphetamine (tablets),6000000,tablets,18000000,Border checkpoint,Synthetic (illustrative),C,2,C2
42,2020-10-15,Cambodia,Kandal,Kandal,11.2227,104.8522,Crystal Methamphetamine,35,kg,1750000,Vehicle checkpoint,Synthetic (illustrative),B,2,B2
43,2020-11-02,Thailand,Tak,Tak,16.884,99.1258,Crystal Methamphetamine,180,kg,9000000,Border checkpoint,Synthetic (illustrative),B,2,B2
44,2020-11-20,Myanmar,Yangon,Yangon,16.8661,96.1951,Heroin,150,kg,6000000,Port seizure,Synthetic (illustrative),B,2,B2
45,2020-12-08,Philippines,Zamboanga,Zamboanga,6.9214,122.079,Crystal Methamphetamine,40,kg,2000000,Maritime interdiction,Synthetic (illustrative),B,2,B2
46,2020-12-22,Thailand,Chiang Rai,Chiang Rai,19.9105,99.8406,Methamphetamine (tablets),18000000,tablets,54000000,Border checkpoint,Synthetic (illustrative),B,2,B2
47,2021-01-10,Thailand,Bangkok,Bangkok,13.7563,100.5018,Crystal Methamphetamine,580,kg,29000000,Warehouse raid,Synthetic (illustrative),B,2,B2
48,2021-01-28,Myanmar,Shan State,Lashio,22.9362,97.75,Methamphetamine (tablets),30000000,tablets,90000000,Lab dismantlement,Synthetic (illustrative),B,2,B2
49,2021-02-14,Malaysia,Johor,Johor Bahru,1.4927,103.7414,Crystal Methamphetamine,280,kg,14000000,Port seizure,Synthetic (illustrative),B,2,B2
50,2021-02-28,Laos,Bokeo,Bokeo,20.2833,100.4333,Methamphetamine (tablets),14000000,tablets,42000000,Border checkpoint,Synthetic (illustrative),B,2,B2
51,2021-03-12,Vietnam,Dien Bien,Dien Bien,21.386,103.023,Heroin,95,kg,3800000,Border checkpoint,Synthetic (illustrative),B,2,B2
52,2021-03-25,Cambodia,Phnom Penh,Phnom Penh,11.5564,104.9282,Ketamine,200,kg,4000000,Intelligence-led raid,Synthetic (illustrative),B,2,B2
53,2021-04-08,Indonesia,DKI Jakarta,Jakarta,-6.2088,106.8456,Crystal Methamphetamine,120,kg,6000000,Controlled delivery,Synthetic (illustrative),B,2,B2
54,2021-04-22,Thailand,Nakhon Phanom,Nakhon Phanom,17.4048,104.7692,Methamphetamine (tablets),22000000,tablets,66000000,Border checkpoint,Synthetic (illustrative),B,2,B2
55,2021-05-10,Philippines,Metro Manila,Manila,14.5995,120.9842,Crystal Methamphetamine,400,kg,20000000,Intelligence-led raid,Synthetic (illustrative),B,2,B2
56,2021-05-25,Thailand,Chiang Rai,Chiang Rai,19.9105,99.8406,Heroin,15,kg,600000,Vehicle checkpoint,Synthetic (illustrative),B,2,B2
57,2021-06-08,Myanmar,Shan State,Muse,23.9881,97.8536,Crystal Methamphetamine,750,kg,37500000,Border checkpoint,Synthetic (illustrative),B,2,B2
58,2021-06-22,Malaysia,Kuala Lumpur,Kuala Lumpur,3.139,101.6869,Ketamine,180,kg,3600000,Airport seizure,Synthetic (illustrative),B,2,B2
59,2021-07-05,Thailand,Bangkok,Bangkok,13.7563,100.5018,Cocaine,12,kg,720000,Airport seizure,Synthetic (illustrative),B,2,B2
60,2021-07-18,Indonesia,North Sumatra,Medan,3.5952,98.6722,Crystal Methamphetamine,90,kg,4500000,Maritime interdiction,Synthetic (illustrative),B,2,B2
61,2021-08-02,Vietnam,Ho Chi Minh City,Ho Chi Minh City,10.8231,106.6297,Crystal Methamphetamine,110,kg,5500000,Port seizure,Synthetic (illustrative),B,2,B2
62,2021-08-16,Laos,Vientiane,Vientiane,17.9757,102.6331,Methamphetamine (tablets),10000000,tablets,30000000,Controlled delivery,Synthetic (illustrative),C,2,C2
63,2021-09-01,Thailand,Mukdahan,Mukdahan,16.5426,104.7235,Methamphetamine (tablets),25000000,tablets,75000000,Border checkpoint,Synthetic (illustrative),B,2,B2
64,2021-09-15,Cambodia,Preah Sihanouk,Preah Sihanouk,10.6093,103.5228,Ketamine,350,kg,7000000,Warehouse raid,Synthetic (illustrative),D,3,D3
65,2021-10-01,Philippines,Cebu,Cebu,10.3157,123.8854,Crystal Methamphetamine,65,kg,3250000,Maritime interdiction,Synthetic (illustrative),B,2,B2
66,2021-10-18,Thailand,Chiang Mai,Chiang Mai,18.7883,98.9853,Methamphetamine (tablets),8000000,tablets,24000000,Vehicle checkpoint,Synthetic (illustrative),B,2,B2
67,2021-11-04,Myanmar,Mandalay,Mandalay,21.9588,96.0891,Heroin,110,kg,4400000,Intelligence-led raid,Synthetic (illustrative),B,2,B2
68,2021-11-22,Malaysia,Sabah,Kota Kinabalu,5.9804,116.0735,Crystal Methamphetamine,60,kg,3000000,Maritime interdiction,Synthetic (illustrative),B,2,B2
69,2021-12-08,Thailand,Bangkok,Bangkok,13.7563,100.5018,Ketamine,150,kg,3000000,Warehouse raid,Synthetic (illustrative),B,2,B2
70,2021-12-20,Indonesia,Riau Islands,Batam,1.0456,104.0305,Crystal Methamphetamine,45,kg,2250000,Maritime interdiction,Synthetic (illustrative),B,2,B2
71,2022-01-12,Thailand,Chiang Rai,Chiang Rai,19.9105,99.8406,Methamphetamine (tablets),35000000,tablets,105000000,Border checkpoint,Synthetic (illustrative),B,2,B2
72,2022-01-28,Myanmar,Shan State,Tachileik,20.4478,99.9358,Crystal Methamphetamine,1200,kg,60000000,Lab dismantlement,Synthetic (illustrative),B,2,B2
73,2022-02-10,Cambodia,Phnom Penh,Phnom Penh,11.5564,104.9282,Ketamine,500,kg,10000000,Intelligence-led raid,Synthetic (illustrative),B,2,B2
74,2022-02-25,Thailand,Bangkok,Bangkok,13.7563,100.5018,Crystal Methamphetamine,900,kg,45000000,Warehouse raid,Synthetic (illustrative),B,2,B2
